edad,sexo,periodo,total
De 40 a 44 años,Ambos sexos,2010T3,"17,07"
De 40 a 44 años,Ambos sexos,2010T2,"17,36"
De 40 a 44 años,Ambos sexos,2010T1,"16,59"
De 40 a 44 años,Hombres,2023T4,"6,95"
De 40 a 44 años,Hombres,2023T3,"7,58"
De 40 a 44 años,Hombres,2023T2,"7,42"
De 40 a 44 años,Hombres,2023T1,"8,68"
De 40 a 44 años,Hombres,2022T4,"8,10"
De 40 a 44 años,Hombres,2022T3,"7,55"
De 40 a 44 años,Hombres,2022T2,"8,33"
De 40 a 44 años,Hombres,2022T1,"8,58"
De 40 a 44 años,Hombres,2021T4,"8,46"
De 40 a 44 años,Hombres,2021T3,"10,11"
De 40 a 44 años,Hombres,2021T2,"9,26"
De 40 a 44 años,Hombres,2021T1,"9,87"
De 40 a 44 años,Hombres,2020T4,"9,54"
De 40 a 44 años,Hombres,2020T3,"10,06"
De 40 a 44 años,Hombres,2020T2,"10,38"
De 40 a 44 años,Hombres,2020T1,"9,50"
De 40 a 44 años,Hombres,2019T4,"8,58"
De 40 a 44 años,Hombres,2019T3,"9,25"
De 40 a 44 años,Hombres,2019T2,"9,29"
De 40 a 44 años,Hombres,2019T1,"9,78"
De 40 a 44 años,Hombres,2018T4,"8,62"
De 40 a 44 años,Hombres,2018T3,"9,80"
De 40 a 44 años,Hombres,2018T2,"9,33"
De 40 a 44 años,Hombres,2018T1,"10,73"
De 40 a 44 años,Hombres,2017T4,"10,51"
De 40 a 44 años,Hombres,2017T3,"10,06"
De 40 a 44 años,Hombres,2017T2,"10,96"
De 40 a 44 años,Hombres,2017T1,"13,19"
De 40 a 44 años,Hombres,2016T4,"13,30"
De 40 a 44 años,Hombres,2016T3,"13,63"
De 40 a 44 años,Hombres,2016T2,"15,02"
De 40 a 44 años,Hombres,2016T1,"15,02"
De 40 a 44 años,Hombres,2015T4,"15,03"
De 40 a 44 años,Hombres,2015T3,"14,87"
De 40 a 44 años,Hombres,2015T2,"15,35"
De 40 a 44 años,Hombres,2015T1,"17,57"
De 40 a 44 años,Hombres,2014T4,"18,43"
De 40 a 44 años,Hombres,2014T3,"17,88"
De 40 a 44 años,Hombres,2014T2,"19,44"
De 40 a 44 años,Hombres,2014T1,"20,94"
De 40 a 44 años,Hombres,2013T4,"20,44"
De 40 a 44 años,Hombres,2013T3,"21,32"
De 40 a 44 años,Hombres,2013T2,"21,27"
De 40 a 44 años,Hombres,2013T1,"22,63"
De 40 a 44 años,Hombres,2012T4,"22,28"
De 40 a 44 años,Hombres,2012T3,"20,68"
De 40 a 44 años,Hombres,2012T2,"20,55"
De 40 a 44 años,Hombres,2012T1,"19,29"
De 40 a 44 años,Hombres,2011T4,"19,42"
De 40 a 44 años,Hombres,2011T3,"17,66"
De 40 a 44 años,Hombres,2011T2,"17,42"
De 40 a 44 años,Hombres,2011T1,"17,17"
De 40 a 44 años,Hombres,2010T4,"16,50"
De 40 a 44 años,Hombres,2010T3,"16,59"
De 40 a 44 años,Hombres,2010T2,"16,95"
De 40 a 44 años,Hombres,2010T1,"16,66"
De 40 a 44 años,Mujeres,2023T4,"10,66"
De 40 a 44 años,Mujeres,2023T3,"10,40"
De 40 a 44 años,Mujeres,2023T2,"11,27"
De 40 a 44 años,Mujeres,2023T1,"12,91"
De 40 a 44 años,Mujeres,2022T4,"12,16"
De 40 a 44 años,Mujeres,2022T3,"12,42"
De 40 a 44 años,Mujeres,2022T2,"12,63"
De 40 a 44 años,Mujeres,2022T1,"13,64"
De 40 a 44 años,Mujeres,2021T4,"12,62"
De 40 a 44 años,Mujeres,2021T3,"13,00"
De 40 a 44 años,Mujeres,2021T2,"13,43"
De 40 a 44 años,Mujeres,2021T1,"15,42"
De 40 a 44 años,Mujeres,2020T4,"15,69"
De 40 a 44 años,Mujeres,2020T3,"15,19"
De 40 a 44 años,Mujeres,2020T2,"13,74"
De 40 a 44 años,Mujeres,2020T1,"13,79"
De 40 a 44 años,Mujeres,2019T4,"13,25"
De 40 a 44 años,Mujeres,2019T3,"14,29"
De 40 a 44 años,Mujeres,2019T2,"13,61"
De 40 a 44 años,Mujeres,2019T1,"14,74"
De 40 a 44 años,Mujeres,2018T4,"14,25"
De 40 a 44 años,Mujeres,2018T3,"13,62"
De 40 a 44 años,Mujeres,2018T2,"14,69"
De 40 a 44 años,Mujeres,2018T1,"16,29"
De 40 a 44 años,Mujeres,2017T4,"16,03"
De 40 a 44 años,Mujeres,2017T3,"16,32"
De 40 a 44 años,Mujeres,2017T2,"17,00"
De 40 a 44 años,Mujeres,2017T1,"19,14"
De 40 a 44 años,Mujeres,2016T4,"17,10"
De 40 a 44 años,Mujeres,2016T3,"18,09"
De 40 a 44 años,Mujeres,2016T2,"19,50"
De 40 a 44 años,Mujeres,2016T1,"20,09"
De 40 a 44 años,Mujeres,2015T4,"19,93"
De 40 a 44 años,Mujeres,2015T3,"19,77"
De 40 a 44 años,Mujeres,2015T2,"21,92"
De 40 a 44 años,Mujeres,2015T1,"23,44"
De 40 a 44 años,Mujeres,2014T4,"23,63"
De 40 a 44 años,Mujeres,2014T3,"22,17"
De 40 a 44 años,Mujeres,2014T2,"23,74"
De 40 a 44 años,Mujeres,2014T1,"23,91"
De 40 a 44 años,Mujeres,2013T4,"23,97"
De 40 a 44 años,Mujeres,2013T3,"23,19"
De 40 a 44 años,Mujeres,2013T2,"23,57"
De 40 a 44 años,Mujeres,2013T1,"24,79"
De 40 a 44 años,Mujeres,2012T4,"23,41"
De 40 a 44 años,Mujeres,2012T3,"22,83"
De 40 a 44 años,Mujeres,2012T2,"22,99"
De 40 a 44 años,Mujeres,2012T1,"24,05"
De 40 a 44 años,Mujeres,2011T4,"21,84"
De 40 a 44 años,Mujeres,2011T3,"20,01"
De 40 a 44 años,Mujeres,2011T2,"19,40"
De 40 a 44 años,Mujeres,2011T1,"19,29"
De 40 a 44 años,Mujeres,2010T4,"18,49"
De 40 a 44 años,Mujeres,2010T3,"17,69"
De 40 a 44 años,Mujeres,2010T2,"17,87"
De 40 a 44 años,Mujeres,2010T1,"16,50"
De 45 a 49 años,Ambos sexos,2023T4,"9,09"
De 45 a 49 años,Ambos sexos,2023T3,"9,09"
De 45 a 49 años,Ambos sexos,2023T2,"8,76"
De 45 a 49 años,Ambos sexos,2023T1,"10,81"
De 45 a 49 años,Ambos sexos,2022T4,"10,52"
De 45 a 49 años,Ambos sexos,2022T3,"9,41"
De 45 a 49 años,Ambos sexos,2022T2,"9,50"
De 45 a 49 años,Ambos sexos,2022T1,"10,56"
De 45 a 49 años,Ambos sexos,2021T4,"10,65"
De 45 a 49 años,Ambos sexos,2021T3,"11,22"
De 45 a 49 años,Ambos sexos,2021T2,"11,76"
De 45 a 49 años,Ambos sexos,2021T1,"12,68"
De 45 a 49 años,Ambos sexos,2020T4,"12,73"
De 45 a 49 años,Ambos sexos,2020T3,"13,18"
De 45 a 49 años,Ambos sexos,2020T2,"11,68"
De 45 a 49 años,Ambos sexos,2020T1,"11,82"
De 45 a 49 años,Ambos sexos,2019T4,"11,47"
De 45 a 49 años,Ambos sexos,2019T3,"11,11"
De 45 a 49 años,Ambos sexos,2019T2,"11,20"
De 45 a 49 años,Ambos sexos,2019T1,"12,42"
De 45 a 49 años,Ambos sexos,2018T4,"11,57"
De 45 a 49 años,Ambos sexos,2018T3,"12,06"
De 45 a 49 años,Ambos sexos,2018T2,"13,64"
De 45 a 49 años,Ambos sexos,2018T1,"14,22"
De 45 a 49 años,Ambos sexos,2017T4,"14,24"
De 45 a 49 años,Ambos sexos,2017T3,"14,08"
De 45 a 49 años,Ambos sexos,2017T2,"14,99"
De 45 a 49 años,Ambos sexos,2017T1,"16,94"
De 45 a 49 años,Ambos sexos,2016T4,"16,01"
De 45 a 49 años,Ambos sexos,2016T3,"16,60"
De 45 a 49 años,Ambos sexos,2016T2,"16,62"
De 45 a 49 años,Ambos sexos,2016T1,"18,68"
De 45 a 49 años,Ambos sexos,2015T4,"18,76"
De 45 a 49 años,Ambos sexos,2015T3,"19,00"
De 45 a 49 años,Ambos sexos,2015T2,"20,41"
De 45 a 49 años,Ambos sexos,2015T1,"21,72"
De 45 a 49 años,Ambos sexos,2014T4,"20,64"
De 45 a 49 años,Ambos sexos,2014T3,"20,89"
De 45 a 49 años,Ambos sexos,2014T2,"22,18"
De 45 a 49 años,Ambos sexos,2014T1,"23,23"
De 45 a 49 años,Ambos sexos,2013T4,"22,23"
De 45 a 49 años,Ambos sexos,2013T3,"22,60"
De 45 a 49 años,Ambos sexos,2013T2,"23,45"
De 45 a 49 años,Ambos sexos,2013T1,"23,45"
De 45 a 49 años,Ambos sexos,2012T4,"21,88"
De 45 a 49 años,Ambos sexos,2012T3,"21,50"
De 45 a 49 años,Ambos sexos,2012T2,"21,12"
De 45 a 49 años,Ambos sexos,2012T1,"20,40"
De 45 a 49 años,Ambos sexos,2011T4,"19,08"
De 45 a 49 años,Ambos sexos,2011T3,"17,66"
De 45 a 49 años,Ambos sexos,2011T2,"16,68"
De 45 a 49 años,Ambos sexos,2011T1,"17,75"
De 45 a 49 años,Ambos sexos,2010T4,"15,98"
De 45 a 49 años,Ambos sexos,2010T3,"15,09"
De 45 a 49 años,Ambos sexos,2010T2,"15,99"
De 45 a 49 años,Ambos sexos,2010T1,"16,20"
De 45 a 49 años,Hombres,2023T4,"7,18"
De 45 a 49 años,Hombres,2023T3,"6,75"
De 45 a 49 años,Hombres,2023T2,"6,71"
De 45 a 49 años,Hombres,2023T1,"8,59"
De 45 a 49 años,Hombres,2022T4,"8,61"
De 45 a 49 años,Hombres,2022T3,"7,41"
De 45 a 49 años,Hombres,2022T2,"7,18"
De 45 a 49 años,Hombres,2022T1,"7,77"
De 45 a 49 años,Hombres,2021T4,"7,79"
De 45 a 49 años,Hombres,2021T3,"8,85"
De 45 a 49 años,Hombres,2021T2,"8,79"
De 45 a 49 años,Hombres,2021T1,"10,03"
De 45 a 49 años,Hombres,2020T4,"10,04"
De 45 a 49 años,Hombres,2020T3,"10,78"
De 45 a 49 años,Hombres,2020T2,"10,24"
De 45 a 49 años,Hombres,2020T1,"9,90"
De 45 a 49 años,Hombres,2019T4,"9,50"
De 45 a 49 años,Hombres,2019T3,"9,29"
De 45 a 49 años,Hombres,2019T2,"9,19"
De 45 a 49 años,Hombres,2019T1,"9,95"
De 45 a 49 años,Hombres,2018T4,"9,22"
De 45 a 49 años,Hombres,2018T3,"10,00"
De 45 a 49 años,Hombres,2018T2,"11,69"
De 45 a 49 años,Hombres,2018T1,"12,13"
De 45 a 49 años,Hombres,2017T4,"12,39"
De 45 a 49 años,Hombres,2017T3,"12,12"
De 45 a 49 años,Hombres,2017T2,"12,58"
De 45 a 49 años,Hombres,2017T1,"14,31"
De 45 a 49 años,Hombres,2016T4,"13,64"
De 45 a 49 años,Hombres,2016T3,"14,34"
De 45 a 49 años,Hombres,2016T2,"14,12"
De 45 a 49 años,Hombres,2016T1,"16,86"
De 45 a 49 años,Hombres,2015T4,"16,50"
De 45 a 49 años,Hombres,2015T3,"17,05"
De 45 a 49 años,Hombres,2015T2,"17,56"
De 45 a 49 años,Hombres,2015T1,"19,14"
De 45 a 49 años,Hombres,2014T4,"19,31"
De 45 a 49 años,Hombres,2014T3,"19,39"
De 45 a 49 años,Hombres,2014T2,"21,07"
De 45 a 49 años,Hombres,2014T1,"22,54"
De 45 a 49 años,Hombres,2013T4,"21,59"
De 45 a 49 años,Hombres,2013T3,"22,00"
De 45 a 49 años,Hombres,2013T2,"22,45"
De 45 a 49 años,Hombres,2013T1,"22,69"
De 45 a 49 años,Hombres,2012T4,"20,89"
De 45 a 49 años,Hombres,2012T3,"20,58"
De 45 a 49 años,Hombres,2012T2,"20,53"
De 45 a 49 años,Hombres,2012T1,"19,81"
De 45 a 49 años,Hombres,2011T4,"17,79"
De 45 a 49 años,Hombres,2011T3,"16,80"
De 45 a 49 años,Hombres,2011T2,"16,02"
De 45 a 49 años,Hombres,2011T1,"16,20"
De 45 a 49 años,Hombres,2010T4,"14,57"
De 45 a 49 años,Hombres,2010T3,"14,13"
De 45 a 49 años,Hombres,2010T2,"14,56"
De 45 a 49 años,Hombres,2010T1,"15,25"
De 45 a 49 años,Mujeres,2023T4,"11,21"
De 45 a 49 años,Mujeres,2023T3,"11,66"
De 45 a 49 años,Mujeres,2023T2,"11,07"
De 45 a 49 años,Mujeres,2023T1,"13,30"
De 45 a 49 años,Mujeres,2022T4,"12,66"
De 45 a 49 años,Mujeres,2022T3,"11,69"
De 45 a 49 años,Mujeres,2022T2,"12,16"
De 45 a 49 años,Mujeres,2022T1,"13,73"
De 45 a 49 años,Mujeres,2021T4,"13,93"
De 45 a 49 años,Mujeres,2021T3,"13,98"
De 45 a 49 años,Mujeres,2021T2,"15,13"
De 45 a 49 años,Mujeres,2021T1,"15,69"
De 45 a 49 años,Mujeres,2020T4,"15,76"
De 45 a 49 años,Mujeres,2020T3,"15,95"
De 45 a 49 años,Mujeres,2020T2,"13,36"
De 45 a 49 años,Mujeres,2020T1,"13,99"
De 45 a 49 años,Mujeres,2019T4,"13,75"
De 45 a 49 años,Mujeres,2019T3,"13,22"
De 45 a 49 años,Mujeres,2019T2,"13,49"
De 45 a 49 años,Mujeres,2019T1,"15,24"
De 45 a 49 años,Mujeres,2018T4,"14,30"
De 45 a 49 años,Mujeres,2018T3,"14,48"
De 45 a 49 años,Mujeres,2018T2,"15,90"
De 45 a 49 años,Mujeres,2018T1,"16,64"
De 45 a 49 años,Mujeres,2017T4,"16,39"
De 45 a 49 años,Mujeres,2017T3,"16,36"
De 45 a 49 años,Mujeres,2017T2,"17,80"
De 45 a 49 años,Mujeres,2017T1,"19,96"
De 45 a 49 años,Mujeres,2016T4,"18,72"
De 45 a 49 años,Mujeres,2016T3,"19,25"
De 45 a 49 años,Mujeres,2016T2,"19,51"
De 45 a 49 años,Mujeres,2016T1,"20,81"
De 45 a 49 años,Mujeres,2015T4,"21,39"
De 45 a 49 años,Mujeres,2015T3,"21,29"
De 45 a 49 años,Mujeres,2015T2,"23,76"
De 45 a 49 años,Mujeres,2015T1,"24,74"
De 45 a 49 años,Mujeres,2014T4,"22,23"
De 45 a 49 años,Mujeres,2014T3,"22,70"
De 45 a 49 años,Mujeres,2014T2,"23,48"
De 45 a 49 años,Mujeres,2014T1,"24,04"
De 45 a 49 años,Mujeres,2013T4,"23,00"
De 45 a 49 años,Mujeres,2013T3,"23,33"
De 45 a 49 años,Mujeres,2013T2,"24,61"
De 45 a 49 años,Mujeres,2013T1,"24,34"
De 45 a 49 años,Mujeres,2012T4,"23,05"
De 45 a 49 años,Mujeres,2012T3,"22,61"
De 45 a 49 años,Mujeres,2012T2,"21,83"
De 45 a 49 años,Mujeres,2012T1,"21,11"
De 45 a 49 años,Mujeres,2011T4,"20,64"
De 45 a 49 años,Mujeres,2011T3,"18,73"
De 45 a 49 años,Mujeres,2011T2,"17,47"
De 45 a 49 años,Mujeres,2011T1,"19,63"
De 45 a 49 años,Mujeres,2010T4,"17,70"
De 45 a 49 años,Mujeres,2010T3,"16,28"
De 45 a 49 años,Mujeres,2010T2,"17,75"
De 45 a 49 años,Mujeres,2010T1,"17,39"
De 50 a 54 años,Ambos sexos,2023T4,"9,36"
De 50 a 54 años,Ambos sexos,2023T3,"9,72"
De 50 a 54 años,Ambos sexos,2023T2,"9,60"
De 50 a 54 años,Ambos sexos,2023T1,"11,43"
De 50 a 54 años,Ambos sexos,2022T4,"11,94"
De 50 a 54 años,Ambos sexos,2022T3,"11,79"
De 50 a 54 años,Ambos sexos,2022T2,"11,85"
De 50 a 54 años,Ambos sexos,2022T1,"12,91"
De 50 a 54 años,Ambos sexos,2021T4,"11,72"
De 50 a 54 años,Ambos sexos,2021T3,"12,07"
De 50 a 54 años,Ambos sexos,2021T2,"12,46"
De 50 a 54 años,Ambos sexos,2021T1,"12,96"
De 50 a 54 años,Ambos sexos,2020T4,"12,92"
De 50 a 54 años,Ambos sexos,2020T3,"12,25"
De 50 a 54 años,Ambos sexos,2020T2,"11,65"
De 50 a 54 años,Ambos sexos,2020T1,"12,28"
De 50 a 54 años,Ambos sexos,2019T4,"11,70"
De 50 a 54 años,Ambos sexos,2019T3,"12,14"
De 50 a 54 años,Ambos sexos,2019T2,"12,86"
De 50 a 54 años,Ambos sexos,2019T1,"13,25"
De 50 a 54 años,Ambos sexos,2018T4,"12,83"
De 50 a 54 años,Ambos sexos,2018T3,"12,75"
De 50 a 54 años,Ambos sexos,2018T2,"13,50"
De 50 a 54 años,Ambos sexos,2018T1,"15,23"
De 50 a 54 años,Ambos sexos,2017T4,"14,48"
De 50 a 54 años,Ambos sexos,2017T3,"14,23"
De 50 a 54 años,Ambos sexos,2017T2,"15,37"
De 50 a 54 años,Ambos sexos,2017T1,"16,76"
De 50 a 54 años,Ambos sexos,2016T4,"16,44"
De 50 a 54 años,Ambos sexos,2016T3,"16,82"
De 50 a 54 años,Ambos sexos,2016T2,"18,07"
De 50 a 54 años,Ambos sexos,2016T1,"18,17"
De 50 a 54 años,Ambos sexos,2015T4,"17,77"
De 50 a 54 años,Ambos sexos,2015T3,"18,50"
De 50 a 54 años,Ambos sexos,2015T2,"19,24"
De 50 a 54 años,Ambos sexos,2015T1,"20,17"
De 50 a 54 años,Ambos sexos,2014T4,"20,01"
De 50 a 54 años,Ambos sexos,2014T3,"20,07"
De 50 a 54 años,Ambos sexos,2014T2,"20,80"
De 50 a 54 años,Ambos sexos,2014T1,"21,54"
De 50 a 54 años,Ambos sexos,2013T4,"21,95"
De 50 a 54 años,Ambos sexos,2013T3,"21,39"
De 50 a 54 años,Ambos sexos,2013T2,"20,77"
De 50 a 54 años,Ambos sexos,2013T1,"21,07"
De 50 a 54 años,Ambos sexos,2012T4,"20,07"
De 50 a 54 años,Ambos sexos,2012T3,"20,19"
De 50 a 54 años,Ambos sexos,2012T2,"19,41"
De 50 a 54 años,Ambos sexos,2012T1,"19,17"
De 50 a 54 años,Ambos sexos,2011T4,"17,17"
De 50 a 54 años,Ambos sexos,2011T3,"16,45"
De 50 a 54 años,Ambos sexos,2011T2,"15,51"
De 50 a 54 años,Ambos sexos,2011T1,"15,69"
De 50 a 54 años,Ambos sexos,2010T4,"15,47"
De 50 a 54 años,Ambos sexos,2010T3,"13,90"
De 50 a 54 años,Ambos sexos,2010T2,"15,04"
De 50 a 54 años,Ambos sexos,2010T1,"14,46"
De 50 a 54 años,Hombres,2023T4,"8,00"
De 50 a 54 años,Hombres,2023T3,"7,74"
De 50 a 54 años,Hombres,2023T2,"7,89"
De 50 a 54 años,Hombres,2023T1,"8,74"
De 50 a 54 años,Hombres,2022T4,"9,64"
De 50 a 54 años,Hombres,2022T3,"9,72"
De 50 a 54 años,Hombres,2022T2,"9,69"
De 50 a 54 años,Hombres,2022T1,"11,12"
De 50 a 54 años,Hombres,2021T4,"9,81"
De 50 a 54 años,Hombres,2021T3,"9,33"
De 50 a 54 años,Hombres,2021T2,"10,07"
De 50 a 54 años,Hombres,2021T1,"11,05"
De 50 a 54 años,Hombres,2020T4,"10,70"
De 50 a 54 años,Hombres,2020T3,"10,58"
De 50 a 54 años,Hombres,2020T2,"10,44"
De 50 a 54 años,Hombres,2020T1,"10,80"
De 50 a 54 años,Hombres,2019T4,"9,71"
De 50 a 54 años,Hombres,2019T3,"9,84"
De 50 a 54 años,Hombres,2019T2,"11,11"
De 50 a 54 años,Hombres,2019T1,"11,08"
De 50 a 54 años,Hombres,2018T4,"11,01"
De 50 a 54 años,Hombres,2018T3,"11,17"
De 50 a 54 años,Hombres,2018T2,"11,60"
De 50 a 54 años,Hombres,2018T1,"13,66"
De 50 a 54 años,Hombres,2017T4,"12,64"
De 50 a 54 años,Hombres,2017T3,"12,43"
De 50 a 54 años,Hombres,2017T2,"13,42"
De 50 a 54 años,Hombres,2017T1,"15,10"
De 50 a 54 años,Hombres,2016T4,"14,52"
De 50 a 54 años,Hombres,2016T3,"14,76"
De 50 a 54 años,Hombres,2016T2,"16,53"
De 50 a 54 años,Hombres,2016T1,"16,88"
De 50 a 54 años,Hombres,2015T4,"16,47"
De 50 a 54 años,Hombres,2015T3,"17,85"
De 50 a 54 años,Hombres,2015T2,"18,30"
De 50 a 54 años,Hombres,2015T1,"19,53"
De 50 a 54 años,Hombres,2014T4,"19,43"
De 50 a 54 años,Hombres,2014T3,"18,68"
De 50 a 54 años,Hombres,2014T2,"19,98"
De 50 a 54 años,Hombres,2014T1,"21,35"
De 50 a 54 años,Hombres,2013T4,"21,23"
De 50 a 54 años,Hombres,2013T3,"20,49"
De 50 a 54 años,Hombres,2013T2,"20,23"
De 50 a 54 años,Hombres,2013T1,"21,29"
De 50 a 54 años,Hombres,2012T4,"19,61"
De 50 a 54 años,Hombres,2012T3,"20,09"
De 50 a 54 años,Hombres,2012T2,"19,59"
De 50 a 54 años,Hombres,2012T1,"18,84"
De 50 a 54 años,Hombres,2011T4,"17,23"
De 50 a 54 años,Hombres,2011T3,"15,83"
De 50 a 54 años,Hombres,2011T2,"15,46"
De 50 a 54 años,Hombres,2011T1,"15,51"
De 50 a 54 años,Hombres,2010T4,"15,27"
De 50 a 54 años,Hombres,2010T3,"13,65"
De 50 a 54 años,Hombres,2010T2,"14,50"
De 50 a 54 años,Hombres,2010T1,"14,53"
De 50 a 54 años,Mujeres,2023T4,"10,89"
De 50 a 54 años,Mujeres,2023T3,"11,93"
De 50 a 54 años,Mujeres,2023T2,"11,53"
De 50 a 54 años,Mujeres,2023T1,"14,44"
De 50 a 54 años,Mujeres,2022T4,"14,55"
De 50 a 54 años,Mujeres,2022T3,"14,19"
De 50 a 54 años,Mujeres,2022T2,"14,30"
De 50 a 54 años,Mujeres,2022T1,"14,97"
De 50 a 54 años,Mujeres,2021T4,"13,92"
De 50 a 54 años,Mujeres,2021T3,"15,22"
De 50 a 54 años,Mujeres,2021T2,"15,27"
De 50 a 54 años,Mujeres,2021T1,"15,19"
De 50 a 54 años,Mujeres,2020T4,"15,51"
De 50 a 54 años,Mujeres,2020T3,"14,24"
De 50 a 54 años,Mujeres,2020T2,"13,08"
De 50 a 54 años,Mujeres,2020T1,"13,99"
De 50 a 54 años,Mujeres,2019T4,"13,96"
De 50 a 54 años,Mujeres,2019T3,"14,81"
De 50 a 54 años,Mujeres,2019T2,"14,87"
De 50 a 54 años,Mujeres,2019T1,"15,78"
De 50 a 54 años,Mujeres,2018T4,"14,98"
De 50 a 54 años,Mujeres,2018T3,"14,63"
De 50 a 54 años,Mujeres,2018T2,"15,73"
De 50 a 54 años,Mujeres,2018T1,"17,09"
De 50 a 54 años,Mujeres,2017T4,"16,66"
De 50 a 54 años,Mujeres,2017T3,"16,39"
De 50 a 54 años,Mujeres,2017T2,"17,72"
De 50 a 54 años,Mujeres,2017T1,"18,73"
De 50 a 54 años,Mujeres,2016T4,"18,73"
De 50 a 54 años,Mujeres,2016T3,"19,33"
De 50 a 54 años,Mujeres,2016T2,"19,91"
De 50 a 54 años,Mujeres,2016T1,"19,70"
De 50 a 54 años,Mujeres,2015T4,"19,32"
De 50 a 54 años,Mujeres,2015T3,"19,30"
De 50 a 54 años,Mujeres,2015T2,"20,35"
De 50 a 54 años,Mujeres,2015T1,"20,94"
De 50 a 54 años,Mujeres,2014T4,"20,70"
De 50 a 54 años,Mujeres,2014T3,"21,76"
De 50 a 54 años,Mujeres,2014T2,"21,79"
De 50 a 54 años,Mujeres,2014T1,"21,77"
De 50 a 54 años,Mujeres,2013T4,"22,83"
De 50 a 54 años,Mujeres,2013T3,"22,50"
De 50 a 54 años,Mujeres,2013T2,"21,43"
De 50 a 54 años,Mujeres,2013T1,"20,79"
De 50 a 54 años,Mujeres,2012T4,"20,63"
De 50 a 54 años,Mujeres,2012T3,"20,32"
De 50 a 54 años,Mujeres,2012T2,"19,19"
De 50 a 54 años,Mujeres,2012T1,"19,59"
De 50 a 54 años,Mujeres,2011T4,"17,10"
De 50 a 54 años,Mujeres,2011T3,"17,25"
De 50 a 54 años,Mujeres,2011T2,"15,57"
De 50 a 54 años,Mujeres,2011T1,"15,93"
De 50 a 54 años,Mujeres,2010T4,"15,72"
De 50 a 54 años,Mujeres,2010T3,"14,23"
De 50 a 54 años,Mujeres,2010T2,"15,74"
De 50 a 54 años,Mujeres,2010T1,"14,36"
De 55 a 59 años,Ambos sexos,2023T4,"11,22"
De 55 a 59 años,Ambos sexos,2023T3,"10,85"
De 55 a 59 años,Ambos sexos,2023T2,"11,29"
De 55 a 59 años,Ambos sexos,2023T1,"11,92"
De 55 a 59 años,Ambos sexos,2022T4,"10,92"
De 55 a 59 años,Ambos sexos,2022T3,"10,59"
De 55 a 59 años,Ambos sexos,2022T2,"11,71"
De 55 a 59 años,Ambos sexos,2022T1,"12,39"
De 55 a 59 años,Ambos sexos,2021T4,"12,55"
De 55 a 59 años,Ambos sexos,2021T3,"14,17"
De 55 a 59 años,Ambos sexos,2021T2,"13,37"
De 55 a 59 años,Ambos sexos,2021T1,"13,78"
De 55 a 59 años,Ambos sexos,2020T4,"13,06"
De 55 a 59 años,Ambos sexos,2020T3,"12,44"
De 55 a 59 años,Ambos sexos,2020T2,"11,84"
De 55 a 59 años,Ambos sexos,2020T1,"12,62"
De 55 a 59 años,Ambos sexos,2019T4,"12,74"
De 55 a 59 años,Ambos sexos,2019T3,"12,27"
De 55 a 59 años,Ambos sexos,2019T2,"12,46"
De 55 a 59 años,Ambos sexos,2019T1,"13,12"
De 55 a 59 años,Ambos sexos,2018T4,"13,03"
De 55 a 59 años,Ambos sexos,2018T3,"12,68"
De 55 a 59 años,Ambos sexos,2018T2,"14,17"
De 55 a 59 años,Ambos sexos,2018T1,"15,37"
De 55 a 59 años,Ambos sexos,2017T4,"15,30"
De 55 a 59 años,Ambos sexos,2017T3,"15,12"
De 55 a 59 años,Ambos sexos,2017T2,"15,78"
De 55 a 59 años,Ambos sexos,2017T1,"16,55"
De 55 a 59 años,Ambos sexos,2016T4,"16,90"
De 55 a 59 años,Ambos sexos,2016T3,"16,80"
De 55 a 59 años,Ambos sexos,2016T2,"17,81"
De 55 a 59 años,Ambos sexos,2016T1,"18,59"
De 55 a 59 años,Ambos sexos,2015T4,"19,14"
De 55 a 59 años,Ambos sexos,2015T3,"19,53"
De 55 a 59 años,Ambos sexos,2015T2,"19,56"
De 55 a 59 años,Ambos sexos,2015T1,"20,09"
De 55 a 59 años,Ambos sexos,2014T4,"21,38"
De 55 a 59 años,Ambos sexos,2014T3,"21,17"
De 55 a 59 años,Ambos sexos,2014T2,"21,85"
De 55 a 59 años,Ambos sexos,2014T1,"21,47"
De 55 a 59 años,Ambos sexos,2013T4,"20,87"
De 55 a 59 años,Ambos sexos,2013T3,"19,88"
De 55 a 59 años,Ambos sexos,2013T2,"20,87"
De 55 a 59 años,Ambos sexos,2013T1,"20,98"
De 55 a 59 años,Ambos sexos,2012T4,"19,82"
De 55 a 59 años,Ambos sexos,2012T3,"18,90"
De 55 a 59 años,Ambos sexos,2012T2,"18,52"
De 55 a 59 años,Ambos sexos,2012T1,"18,53"
De 55 a 59 años,Ambos sexos,2011T4,"17,65"
De 55 a 59 años,Ambos sexos,2011T3,"15,80"
De 55 a 59 años,Ambos sexos,2011T2,"15,05"
De 55 a 59 años,Ambos sexos,2011T1,"15,52"
De 55 a 59 años,Ambos sexos,2010T4,"15,30"
De 55 a 59 años,Ambos sexos,2010T3,"15,27"
De 55 a 59 años,Ambos sexos,2010T2,"14,68"
De 55 a 59 años,Ambos sexos,2010T1,"15,00"
De 55 a 59 años,Hombres,2023T4,"9,73"
De 55 a 59 años,Hombres,2023T3,"8,48"
De 55 a 59 años,Hombres,2023T2,"9,12"
De 55 a 59 años,Hombres,2023T1,"10,20"
